fNAME,lNAME,gender,email,street_address,city,state_province,postal_code,country,password1,password2,phone_number,Relationship
Kyle,Olsen,Female,Kyle_Olsen@testparent.com,85 Sørlandsveien, Haugesund, Møre og Romsdal,2011,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860181,Mother
Dustin,Ahmed,Male,Dustin_Ahmed@testparent.com,81 Fjordveien, Fredrikstad, Oslo,6728,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860182,Gurdian
Curtis,Bakke,Female,Curtis_Bakke@testparent.com,118 Storgata, Kristiansand, Rogaland,6490,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860183,Mother
Toby,Abrahamsen,Male,Toby_Abrahamsen@testparent.com,61 Kirkeveien, Trondheim, Rogaland,3182,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860184,Father
Owen,Narocho,Female,Owen_Narocho@testparent.com,108 Sørlandsveien, Ålesund, Troms og Finnmark,8176,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860185,Mother
Paul,Berg,Male,Paul_Berg@testparent.com,145 Kirkeveien, Drammen, Trøndelag,6917,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860186,Father
Eric,Ojiambo,Female,Eric_Ojiambo@testparent.com,25 Kirkeveien, Oslo, Oslo,6917,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860187,Mother
Zane,Kubebea,Male,Zane_Kubebea@testparent.com,2 Storgata, Kristiansand, Vestland,4558,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860188,Father
Sean,M�ller,Female,Sean_M�ller@testparent.com,4 Sørlandsveien, Ålesund, Trøndelag,6917,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860189,Mother
Brad,Schmidt,Male,Brad_Schmidt@testparent.com,17 Kirkeveien, Haugesund, Agder,4650,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860190,Father
Reece,Dubois,Male,Reece_Dubois@testparent.com,113 Sørlandsveien, Drammen, Rogaland,6581,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860191,Father
Logan,Garc�a,Male,Logan_Garc�a@testparent.com,75 Fjordveien, Bergen, Innlandet,3438,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860192,Father
Ethan,Janssen,Male,Ethan_Janssen@testparent.com,149 Sørlandsveien, Kristiansand, Innlandet,8462,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860193,Father
Mason,Martini,Female,Mason_Martini@testparent.com,89 Sørlandsveien, Tromsø, Rogaland,3511,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860194,Mother
Clark,Bernard,Female,Clark_Bernard@testparent.com,147 Kirkeveien, Stavanger, Agder,4519,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860195,Mother
Adam,Nielsen,Female,Adam_Nielsen@testparent.com,86 Fjordveien, Trondheim, Innlandet,6732,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860196,Gurdian
Bryce,Brown,Male,Bryce_Brown@testparent.com,45 Sørlandsveien, Oslo, Vestland,5196,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860197,Father
Joel,Bauer,Male,Joel_Bauer@testparent.com,3 Kirkeveien, Drammen, Agder,1437,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860198,Father
Grant,Salim,Male,Grant_Salim@testparent.com,60 Kirkeveien, Ålesund, Viken,9222,Norway,@0BusiaKenya,@0BusiaKenya,'+4774860199,Gurdian
